TASKS	 CELLS	 TIME	 SPEC 	 ABS
1 32 2.566220e-02 1.276898e+06 1.276898e+06
1 32 2.546834e-02 1.286617e+06 1.286617e+06
1 32 2.546688e-02 1.286691e+06 1.286691e+06
1 32 2.541951e-02 1.289089e+06 1.289089e+06
1 32 2.557544e-02 1.281229e+06 1.281229e+06
1 32 2.526844e-02 1.296795e+06 1.296795e+06
1 32 2.508861e-02 1.306091e+06 1.306091e+06
1 32 2.521026e-02 1.299788e+06 1.299788e+06
1 32 2.527620e-02 1.296397e+06 1.296397e+06
1 32 2.534065e-02 1.293100e+06 1.293100e+06
1 32 2.523269e-02 1.298633e+06 1.298633e+06
1 32 2.553682e-02 1.283167e+06 1.283167e+06
1 32 2.518121e-02 1.301288e+06 1.301288e+06
1 32 2.485864e-02 1.318173e+06 1.318173e+06
1 32 2.498845e-02 1.311326e+06 1.311326e+06
1 32 2.469974e-02 1.326654e+06 1.326654e+06
1 32 2.505806e-02 1.307683e+06 1.307683e+06
1 32 2.499914e-02 1.310765e+06 1.310765e+06
1 32 2.477999e-02 1.322357e+06 1.322357e+06
1 32 2.466014e-02 1.328784e+06 1.328784e+06
1 32 2.495448e-02 1.313111e+06 1.313111e+06
1 32 2.919542e-02 1.122368e+06 1.122368e+06
1 32 2.648052e-02 1.237438e+06 1.237438e+06
1 32 3.224050e-02 1.016361e+06 1.016361e+06
1 32 2.625537e-02 1.248049e+06 1.248049e+06
1 32 2.621092e-02 1.250166e+06 1.250166e+06
1 32 2.659237e-02 1.232233e+06 1.232233e+06
1 32 2.876673e-02 1.139094e+06 1.139094e+06
1 32 2.810111e-02 1.166075e+06 1.166075e+06
1 32 2.606248e-02 1.257286e+06 1.257286e+06
1 32 2.623682e-02 1.248932e+06 1.248932e+06
1 32 2.596503e-02 1.262005e+06 1.262005e+06
1 32 2.642926e-02 1.239838e+06 1.239838e+06
1 32 3.045148e-02 1.076073e+06 1.076073e+06
1 32 3.056174e-02 1.072190e+06 1.072190e+06
1 32 2.619459e-02 1.250945e+06 1.250945e+06
1 32 2.626760e-02 1.247468e+06 1.247468e+06
1 32 2.636222e-02 1.242991e+06 1.242991e+06
1 32 2.808157e-02 1.166886e+06 1.166886e+06
1 32 2.652191e-02 1.235507e+06 1.235507e+06
1 32 2.656598e-02 1.233457e+06 1.233457e+06
1 32 2.625806e-02 1.247922e+06 1.247922e+06
1 32 2.557102e-02 1.281451e+06 1.281451e+06
1 32 2.628594e-02 1.246598e+06 1.246598e+06
1 32 3.153003e-02 1.039263e+06 1.039263e+06
1 32 2.633046e-02 1.244490e+06 1.244490e+06
1 32 2.644943e-02 1.238893e+06 1.238893e+06
1 32 2.588589e-02 1.265863e+06 1.265863e+06
1 32 2.579948e-02 1.270103e+06 1.270103e+06
1 32 2.811308e-02 1.165579e+06 1.165579e+06
1 32 2.559119e-02 1.280441e+06 1.280441e+06
1 32 3.332632e-02 9.832468e+05 9.832468e+05
1 32 2.601340e-02 1.259658e+06 1.259658e+06
1 32 2.631305e-02 1.245314e+06 1.245314e+06
1 32 2.617871e-02 1.251704e+06 1.251704e+06
1 32 2.670609e-02 1.226986e+06 1.226986e+06
1 32 2.601189e-02 1.259732e+06 1.259732e+06
1 32 2.660802e-02 1.231508e+06 1.231508e+06
1 32 2.730145e-02 1.200229e+06 1.200229e+06
1 32 2.660386e-02 1.231701e+06 1.231701e+06
1 32 2.763570e-02 1.185713e+06 1.185713e+06
1 32 2.694071e-02 1.216300e+06 1.216300e+06
1 32 2.850502e-02 1.149552e+06 1.149552e+06
1 32 2.823096e-02 1.160711e+06 1.160711e+06
1 32 2.861711e-02 1.145049e+06 1.145049e+06
1 32 3.196856e-02 1.025007e+06 1.025007e+06
1 32 3.064221e-02 1.069375e+06 1.069375e+06
1 32 2.963822e-02 1.105599e+06 1.105599e+06
1 32 3.231480e-02 1.014025e+06 1.014025e+06
1 32 3.356517e-02 9.762501e+05 9.762501e+05
1 32 3.080729e-02 1.063644e+06 1.063644e+06
1 32 2.630478e-02 1.245705e+06 1.245705e+06
1 32 2.642711e-02 1.239939e+06 1.239939e+06
1 32 2.621109e-02 1.250158e+06 1.250158e+06
1 32 2.554948e-02 1.282531e+06 1.282531e+06
1 32 2.568521e-02 1.275754e+06 1.275754e+06
1 32 2.564313e-02 1.277847e+06 1.277847e+06
1 32 2.605633e-02 1.257583e+06 1.257583e+06
1 32 2.590762e-02 1.264802e+06 1.264802e+06
1 32 2.564830e-02 1.277590e+06 1.277590e+06
1 32 2.617199e-02 1.252025e+06 1.252025e+06
1 32 2.583599e-02 1.268308e+06 1.268308e+06
1 32 2.564425e-02 1.277792e+06 1.277792e+06
1 32 2.582950e-02 1.268627e+06 1.268627e+06
1 32 2.588284e-02 1.266012e+06 1.266012e+06
1 32 2.551985e-02 1.284020e+06 1.284020e+06
1 32 2.544529e-02 1.287783e+06 1.287783e+06
